,infinitive,predicted,target,class,correct
52,vahe,vaa,vahu,class__regular,0
72,kamiNa,kammiu,kamiNu,class__regular,0
36,merese,menteuu,meresu,class__regular,0
67,akompaNa,empenpu,akompaNu,class__regular,0
48,xove,xOju,xovu,class__regular,0
64,kativa,ka$$$$u,kativu,class__regular,0
37,viaja,vaju,viaju,class__regular,0
70,dezeja,dezaju,dezeju,class__regular,0
66,pula,pulu,pulu,class__regular,1
33,aproveita,aprof$su,aproveitu,class__regular,0
68,dividi,diviru,dividu,class__regular,0
46,aguarda,agattuu,aguardu,class__regular,0
73,zoa,zou,zou,class__regular,1
69,xega,xEgu,xegu,class__regular,0
49,grita,gratuu,gritu,class__regular,0
33,lembra,limbu,lembru,class__regular,0
54,dezagua,deziguu,dezaguu,class__regular,0
29,eskese,espeseu,eskesu,class__regular,0
69,okulta,$upOlu,okultu,class__regular,0
70,izenta,inidi,izentu,class__regular,0
71,limpa,lip,limpu,class__regular,0
63,konvense,konzi$su,konvensu,class__regular,0
52,heda,hedu,hedu,class__regular,1
51,emerji,enpixu,emerju,class__regular,0
50,transfuji,transvisu,transfuju,class__regular,0
31,mobilia,mpileiu,mobiliu,class__regular,0
57,posui,pusuu,posuu,class__regular,0
33,fuji,fuxu,fuju,class__regular,0
34,adiverti,adiguru,adivertu,class__regular,0
34,imajina,amis$$u,imajinu,class__regular,0
35,desprove,desprefeNu,desprovu,class__regular,0
37,distrai,distrau,distraiu,class__regular,0
38,akudi,aguku,akudu,class__regular,0
39,subi,subu,subu,class__regular,1
40,eleje,elxiu,eleju,class__regular,0
56,influi,infOlu,influu,class__regular,0
55,hemedi,hemidu,hemedu,class__regular,0
32,buli,bulu,bulu,class__regular,1
30,inkohe,inkorou,inkohu,class__regular,0
30,tenta,tentu,tentu,class__regular,1
36,healiza,haaju,healisu,class__regular,0
31,desidi,deziu,desidu,class__regular,0
36,konsumi,konsimu,konsumu,class__regular,0
67,atende,atendu,atendu,class__regular,1
56,enxe,ense,enxu,class__regular,0
47,ajuda,aduju,ajudu,class__regular,0
71,deslingua,despentu,deslinguu,class__regular,0
43,lambuza,lamptutu,lambuzu,class__regular,0
74,akontese,enkorfanu,akontesu,class__regular,0
61,pensa,pensu,pensu,class__regular,1
54,fika,fEku,fiku,class__regular,0
69,senta,sintu,sentu,class__regular,0
62,ezisti,esfinu,ezistu,class__regular,0
60,konta,kontu,kontu,class__regular,1
59,finji,fu,finju,class__regular,0
58,axa,axeu,axu,class__regular,0
64,aviza,avizu,avizu,class__regular,1
57,kompra,kompru,kompru,class__regular,1
51,aji,aju,aju,class__regular,1
65,asisti,asiitu,asistu,class__regular,0
54,eduka,ediku,eduku,class__regular,0
46,ama,ateNu,amu,class__regular,0
35,akaba,agatu,akabu,class__regular,0
48,diskuti,deskubu,diskutu,class__regular,0
49,entra,entri,entru,class__regular,0
68,garanti,kartigu,garantu,class__regular,0
67,preukupa,kongupru,preukupu,class__regular,0
66,manda,mandu,mandu,class__regular,1
63,partisipa,pretrfaruu,partisipu,class__regular,0
55,deixa,dexu,deixu,class__regular,0
57,pasa,pasi,pasu,class__regular,0
65,entende,entredeNu,entendu,class__regular,0
63,aprende,aperbuNu,aprendu,class__regular,0
59,dansa,desdu,dansu,class__regular,0
60,enkontra,enkonttu,enkontru,class__regular,0
42,buska,buvEru,busku,class__regular,0
58,inisia,insaiuu,inisiu,class__regular,0
55,oferese,esp$$su,oferesu,class__regular,0
54,adikiri,adig$itu,adikiru,class__regular,0
53,bebe,bevi,bebu,class__regular,0
52,aprezentar,antetereiu,aprezentu,class__regular,0
51,parti,paritu,partu,class__regular,0
50,parese,parsi,paresu,class__regular,0
61,soNa,sO,soNu,class__regular,0
72,kaza,kaiuu,kazu,class__regular,0
56,julga,jujtu,julgu,class__regular,0
29,hi,fe$u,hiu,class__regular,0
49,inklui,inkulu,inkluu,class__regular,0
48,afliji,laixu,afliju,class__regular,0
47,kontravi,kontravu,kontravu,class__regular,1
46,mohe,mOsu,mohu,class__regular,0
45,sumi,sumu,sumu,class__regular,1
44,jaze,jizu,jazu,class__regular,0
43,denfende,denkomvi,defendu,class__regular,0
42,tende,tentoNu,tendu,class__regular,0
63,sakudi,sakubu,sakudu,class__regular,0
62,kompartiLa,kompratupu,kompartiLu,class__regular,0
67,konklui,kontulu,konkluu,class__regular,0
29,farta,far,fartu,class__regular,0
65,moe,mesu,mou,class__regular,0
50,hespeita,hesintiu,hespeitu,class__regular,0
34,vende,vendu,vendu,class__regular,1
41,sede,setku,sedu,class__regular,0
65,agradese,atarateuu,agradesu,class__regular,0
31,koNese,komesu,koNesu,class__regular,0
58,voa,vo,vou,class__regular,0
59,nada,natu,nadu,class__regular,0
60,para,pairu,paru,class__regular,0
61,kome,kom$u,komu,class__regular,0
38,permiti,persipu,permitu,class__regular,0
51,lava,lavi,lavu,class__regular,0
55,dese,deseNu,desu,class__regular,0
53,beija,peviiu,beiju,class__regular,0
32,kohe,kosfeNu,kohu,class__regular,0
62,permanese,penpensi,permanesu,class__regular,0
36,uza,usu,uzu,class__regular,0
32,esklui,eskolu,eskluu,class__regular,0
33,kompreende,komtertidu,kompreendu,class__regular,0
32,dezisti,dezi,dezistu,class__regular,0
34,aparese,apar$isu,aparesu,class__regular,0
40,envia,enveiu,enviu,class__regular,0
50,kai,ateiu,kaiu,class__regular,0
51,imprimi,impinpu,imprimu,class__regular,0
66,subimete,hemp$en$u,subimetu,class__regular,0
52,imerji,imerju,imerju,class__regular,1
64,trabaLa,tat$$$u,trabaLu,class__regular,0
47,liga,lEgu,ligu,class__regular,0
39,sofre,sus$u,sofru,class__regular,0
45,disouve,desufuru,disouvu,class__regular,0
49,kohiji,kofu,kohiju,class__regular,0
37,envouve,inforvu,envouvu,class__regular,0
47,mexe,mexeu,mexu,class__regular,0
46,kompraze,komprasu,komprazu,class__regular,0
48,presiza,presisu,presizu,class__regular,0
43,analiza,an$liu,analisu,class__regular,0
42,eriji,edixu,eriju,class__regular,0
40,hompe,hepomu,hompu,class__regular,0
41,konvida,konviru,konvidu,class__regular,0
39,planta,plentu,plantu,class__regular,0
53,levanta,levatu,levantu,class__regular,0
52,fala,faxu,falu,class__regular,0
42,anda,antu,andu,class__regular,0
45,kumpri,kumbu,kumpru,class__regular,0
66,abri,abiru,abru,class__regular,0
70,xama,xai,xamu,class__regular,0
71,murxa,musxu,murxu,class__regular,0
43,eskreve,estreveju,eskrevu,class__regular,0
45,kontinua,kontituu,kontinuu,class__regular,0
41,krese,kreei,kresu,class__regular,0
50,ezerse,esteseu,ezersu,class__regular,0
35,brinka,prediku,brinku,class__regular,0
53,subimerji,$ube$$azu,subimerju,class__regular,0
38,konjuga,konguju,konjugu,class__regular,0
55,gaNa,gaau,gaNu,class__regular,0
35,preklui,prokulu,prekluu,class__regular,0
36,kontrai,kontrauu,kontraiu,class__regular,0
37,estingi,estittu,estingu,class__regular,0
39,televe,ke$exo,televu,class__regular,0
40,entupi,intup,entupu,class__regular,0
41,deskalsa,des$$$xu,deskalsu,class__regular,0
42,gasta,garatu,gastu,class__regular,0
43,finda,findu,findu,class__regular,1
44,kuspi,kumtu,kuspu,class__regular,0
45,pretende,prent$,pretendu,class__regular,0
39,deve,deveju,devu,class__regular,0
44,enkamiNa,enkemaNu,enkamiNu,class__regular,0
40,atribui,attupoNu,atribuu,class__regular,0
44,estuda,estOtu,istudu,class__regular,0
57,sauva,sau,sauvu,class__regular,0
58,prende,prenp,prendu,class__regular,0
59,espulsa,esp$l$u,espulsu,class__regular,0
60,hevolve,hejeju,hevolvu,class__regular,0
61,enxuga,enguxu,enxugu,class__regular,0
53,despoli,despulu,despolu,class__regular,0
62,eskapuli,aku,eskapulu,class__regular,0
64,hetrai,hetEruu,hetraiu,class__regular,0
54,benze,benfu,benzu,class__regular,0
34,perverte,perfar,pervertu,class__regular,0
33,sohi,su,sohiu,class__regular,0
38,desprekave,despre$$,desprekavu,class__regular,0
31,mingua,mitidu,minguu,class__regular,0
56,aseita,asintu,aseitu,class__regular,0
57,konfuji,konvilu,konfuju,class__regular,0
58,segura,sekudu,seguru,class__regular,0
49,suspende,suprespu,suspendu,class__regular,0
59,junta,juntu,juntu,class__regular,1
61,kohompe,konpemu,kohompu,class__regular,0
62,atrai,atraiu,atraiu,class__regular,1
32,desmobilia,dezempexu,desmobiliu,class__regular,0
64,eskuta,eskupu,eskutu,class__regular,0
65,mata,manu,matu,class__regular,0
66,paga,pa$ku,pagu,class__regular,0
67,sai,saiu,saiu,class__regular,1
63,kultiva,konvalu,kultivu,class__regular,0
69,eskoLe,eskolu,eskoLu,class__regular,0
60,asende,asentu,asendu,class__regular,0
48,esvai,esfa,esvaiu,class__regular,0
47,destrui,destutu,destruu,class__regular,0
46,dormi,dirmu,durmu,class__regular,0
44,okohe,e$u,okohu,class__regular,0
56,diriji,disiru,diriju,class__regular,0
30,trai,traiu,traiu,class__regular,1
37,muda,mubu,mudu,class__regular,0
28,esprimi,espintu,esprimu,class__regular,0
68,bate,baito,batu,class__regular,0
5,segi,sigu,sigu,class__seguir,1
4,deferi,defiru,defiru,class__seguir,1
6,konsegi,konzigu,konsigu,class__seguir,0
5,kompeli,kompliu,kompilu,class__seguir,0
8,injeri,inxiru,injiru,class__seguir,0
8,konverji,konvirxu,konvirju,class__seguir,0
8,vesti,vintu,vistu,class__seguir,0
6,aferi,afiru,afiru,class__seguir,1
7,preteri,pre$$ru,pretiru,class__seguir,0
7,hepeti,hepEru,hepitu,class__seguir,0
4,regredi,tergudu,regridu,class__seguir,0
9,konferi,konfiru,konfiru,class__seguir,1
11,feri,firu,firu,class__seguir,1
7,transgredi,tratradudu,transgridu,class__seguir,0
5,aderi,aditu,adiru,class__seguir,0
6,preferi,prefiru,prefiru,class__seguir,1
8,dijeri,dijiru,dijiru,class__seguir,1
6,persegi,pertEsu,persigu,class__seguir,0
7,espeli,espelu,espilu,class__seguir,0
5,preveni,prefisu,previnu,class__seguir,0
8,servi,serveNu,sirvu,class__seguir,0
4,progredi,t$trid$u,progridu,class__seguir,0
9,inseri,insiru,insiru,class__seguir,1
7,kompeti,kompEru,kompitu,class__seguir,0
6,diverti,divertu,divirtu,class__seguir,0
10,sujeri,sujiru,sujiru,class__seguir,1
10,agredi,akErdu,agridu,class__seguir,0
1,hete,heti,heteNu,class__ter,0
2,ate,ateeu,ateNu,class__ter,0
2,suste,sundi,susteNu,class__ter,0
1,te,teiu,teNu,class__ter,0
2,abiste,abispO,abisteNu,class__ter,0
3,obite,opediu,obiteNu,class__ter,0
1,konte,kontu,konteNu,class__ter,0
1,dete,detu,deteNu,class__ter,0
2,entrete,entretu,entreteNu,class__ter,0
2,mante,mant,manteNu,class__ter,0
13,fexa,fexu,fExu,class__testar,0
17,manifesta,inpasfanu,manifEstu,class__testar,0
15,entrega,entrEdu,entrEgu,class__testar,0
15,testa,testu,tEstu,class__testar,0
15,espera,espEru,espEru,class__testar,1
14,protesta,pro$rsu,protEstu,class__testar,0
11,obiserva,obi$fasu,obisErvu,class__testar,0
13,empresta,emprOtru,emprEstu,class__testar,0
12,konversa,konfaru,konvErsu,class__testar,0
14,detesta,despEtu,detEstu,class__testar,0
12,pega,pEku,pEgu,class__testar,0
12,infekita,inve$pru,infEkitu,class__testar,0
18,kompleta,komperiu,komplEtu,class__testar,0
13,sega,segu,sEgu,class__testar,0
15,leva,levi,lEvu,class__testar,0
14,seka,seku,sEku,class__testar,0
16,adekua,adeibu,adEkuu,class__testar,0
16,komesa,komesu,komEsu,class__testar,0
17,headekua,hekatiiu,headEkuu,class__testar,0
14,espresa,estErtu,esprEsu,class__testar,0
0,heve,hevexu,heveju,class__ver,0
0,ve,veju,veju,class__ver,1
0,entreve,entreveju,entreveju,class__ver,1
0,interve,interve,interveju,class__ver,0
0,preve,preveNu,preveju,class__ver,0
1,anteve,anteveju,anteveju,class__ver,1
71,konvi,konvi,konveNu,class__vir,0
74,dezavi,dezavu,dezaveNu,class__vir,0
72,sobrevi,sobesvoNu,sobreveNu,class__vir,0
77,obivi,obiveNu,obiveNu,class__vir,1
74,hevi,heveju,heveNu,class__vir,0
79,vi,veu,veNu,class__vir,0
76,adivi,adifeNu,adiveNu,class__vir,0
77,deskonvi,deskomvu,deskonveNu,class__vir,0
73,avi,aseju,aveNu,class__vir,0
78,hekonvi,hekomf$Nu,hekonveNu,class__vir,0
73,provi,proveNu,proveNu,class__vir,1
