infinitive,predicted,target,class
hekere,hetEru,hekEru,class__none
traze,trasu,tragu,class__none
desda,desdu,dEsdu,class__none
kabe,kabu,kaibu,class__none
da,tO,dou,class__none
ekivale,agul$,ekivaLu,class__none
sabe,sapu,sei,class__none
idea,edeiu,ideiu,class__none
esta,esdu,estou,class__none
prove,prevoju,proveNu,class__none
sobresta,dosprisu,sobrestou,class__none
kere,keru,kEru,class__none
entrekere,entrenedu,entrekEru,class__none
pode,pobu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,ozuju,ousu,class__none
dezimpedi,despit$u,dezimpEsu,class__pedir
medi,midu,mEsu,class__pedir
despedi,desputu,despEsu,class__pedir
impedi,impitu,impEsu,class__pedir
pedi,pedu,pEsu,class__pedir
espedi,ezpitu,espEsu,class__pedir
desmedi,despidu,desmEsu,class__pedir
predispo,prent$u,predispoNu,class__por
indispo,intumdu,indispoNu,class__por
dezapo,despisu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontratu,kontrapoNu,class__por
pospo,pomtu,pospoNu,class__por
dispo,disinu,dispoNu,class__por
despo,desku,despoNu,class__por
transpo,trant$u,transpoNu,class__por
espo,esou,espoNu,class__por
interpo,entrekoNu,interpoNu,class__por
hedispo,hetettuu,hedispoNu,class__por
antepo,ank$$,antepoNu,class__por
deskompo,despup$u,deskompoNu,class__por
justapo,suvpanu,justapoNu,class__por
trespo,trepinu,trespoNu,class__por
dekompo,gompu,dekompoNu,class__por
supo,sumtu,supoNu,class__por
presupo,pro$$u,presupoNu,class__por
hekompo,hepopu,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,pro$utu,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,detu,depoNu,class__por
impo,mum,impoNu,class__por
superpo,pomtesiu,superpoNu,class__por
sofre,sos$,sofru,class__regular
disouve,desuvu,disouvu,class__regular
kohiji,kosxuu,kohiju,class__regular
envouve,envussu,envouvu,class__regular
mexe,mexu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presfiu,presizu,class__regular
analiza,an$lisu,analisu,class__regular
eriji,etriu,eriju,class__regular
hompe,hompu,hompu,class__regular
konvida,konviru,konvidu,class__regular
planta,pa$$$u,plantu,class__regular
levanta,xastri,levantu,class__regular
fala,falu,falu,class__regular
anda,atu,andu,class__regular
kumpri,kunpru,kumpru,class__regular
konjuga,kongulu,konjugu,class__regular
xama,$a$u,xamu,class__regular
murxa,mussu,murxu,class__regular
eskreve,ettrev$,eskrevu,class__regular
kontinua,kontenuu,kontinuu,class__regular
krese,kre$u,kresu,class__regular
ezerse,ezez$u,ezersu,class__regular
liga,lEgu,ligu,class__regular
brinka,prittu,brinku,class__regular
trabaLa,prati,trabaLu,class__regular
subimete,pumteseiu,subimetu,class__regular
hespeita,hetesitu,hespeitu,class__regular
vende,hed$,vendu,class__regular
sede,set,sedu,class__regular
agradese,agastenu,agradesu,class__regular
koNese,komesu,koNesu,class__regular
voa,fuu,vou,class__regular
nada,natu,nadu,class__regular
para,paiu,paru,class__regular
kome,komu,komu,class__regular
permiti,pentitu,permitu,class__regular
lava,lavu,lavu,class__regular
dese,deseNu,desu,class__regular
beija,beiju,beiju,class__regular
kohe,koheu,kohu,class__regular
permanese,perens$u,permanesu,class__regular
uza,su,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,komprenedu,kompreendu,class__regular
dezisti,des$$su,dezistu,class__regular
aparese,aperesi,aparesu,class__regular
envia,enviuu,enviu,class__regular
kai,kaii,kaiu,class__regular
imprimi,impundu,imprimu,class__regular
imerji,emirju,imerju,class__regular
subimerji,subixidu,subimerju,class__regular
benze,benzu,benzu,class__regular
gaNa,ka$i,gaNu,class__regular
aseita,asi$$u,aseitu,class__regular
konfuji,konfuju,konfuju,class__regular
segura,siguru,seguru,class__regular
suspende,subusteNu,suspendu,class__regular
junta,zumtu,juntu,class__regular
kohompe,kon$$u,kohompu,class__regular
atrai,atra$u,atraiu,class__regular
kultiva,kumvizu,kultivu,class__regular
eskuta,eskutu,eskutu,class__regular
mata,mati,matu,class__regular
paga,pagu,pagu,class__regular
sai,seiu,saiu,class__regular
bate,bateNu,batu,class__regular
eskoLe,esko,eskoLu,class__regular
asende,asendu,asendu,class__regular
esvai,esfasu,esvaiu,class__regular
destrui,destruu,destruu,class__regular
dormi,tontu,durmu,class__regular
okohe,opo,okohu,class__regular
diriji,distu,diriju,class__regular
muda,punu,mudu,class__regular
esprimi,espiru,esprimu,class__regular
farta,farti,fartu,class__regular
trai,traku,traiu,class__regular
mingua,minguu,minguu,class__regular
desmobilia,deslinbu,desmobiliu,class__regular
sohi,sohu,sohiu,class__regular
perverte,pres$rau,pervertu,class__regular
preklui,prexupu,prekluu,class__regular
kontrai,kontri,kontraiu,class__regular
estingi,istudru,estingu,class__regular
desprekave,dettasadu,desprekavu,class__regular
televe,ke$eviju,televu,class__regular
entupi,entubu,entupu,class__regular
deskalsa,des$$$$u,deskalsu,class__regular
gasta,gattu,gastu,class__regular
finda,findu,findu,class__regular
kuspi,kundu,kuspu,class__regular
pretende,prentesu,pretendu,class__regular
deve,deveju,devu,class__regular
enkamiNa,ankamiNu,enkamiNu,class__regular
atribui,attupru,atribuu,class__regular
estuda,estutu,istudu,class__regular
sauva,sisivu,sauvu,class__regular
prende,prentu,prendu,class__regular
espulsa,$$su,espulsu,class__regular
hevolve,hovex$u,hevolvu,class__regular
enxuga,enzugu,enxugu,class__regular
despoli,despulu,despolu,class__regular
eskapuli,et$$luu,eskapulu,class__regular
hetrai,hetri,hetraiu,class__regular
moe,momeu,mou,class__regular
abri,atru,abru,class__regular
konklui,konpulu,konkluu,class__regular
atinji,atis$u,atinju,class__regular
okulta,$uppu,okultu,class__regular
izenta,azuntu,izentu,class__regular
limpa,lempu,limpu,class__regular
konvense,konfansu,konvensu,class__regular
heda,hediu,hedu,class__regular
emerji,enpriju,emerju,class__regular
transfuji,tranfuzu,transfuju,class__regular
mobilia,po$litu,mobiliu,class__regular
posui,pusu,posuu,class__regular
fuji,suju,fuju,class__regular
adiverti,adivirtu,adivertu,class__regular
desprove,desprevu,desprovu,class__regular
konsumi,konsu,konsumu,class__regular
distrai,distraiu,distraiu,class__regular
akudi,akudu,akudu,class__regular
subi,sugu,subu,class__regular
eleje,eleju,eleju,class__regular
influi,inxulu,influu,class__regular
hemedi,hempu,hemedu,class__regular
dezagua,desiduu,dezaguu,class__regular
inkohe,enkusu,inkohu,class__regular
tenta,tentu,tentu,class__regular
healiza,esajiu,healisu,class__regular
desidi,desizu,desidu,class__regular
eskese,eskisu,eskesu,class__regular
imajina,imilisu,imajinu,class__regular
lembra,lippru,lembru,class__regular
aproveita,aprevu,aproveitu,class__regular
omiti,omiru,omitu,class__regular
ensina,ensinu,ensinu,class__regular
marka,mattu,marku,class__regular
kamiNa,kamimu,kamiNu,class__regular
friji,sixu,friju,class__regular
prokura,prokruu,prokuru,class__regular
surji,sustu,surju,class__regular
konstrui,kontriuu,konstruu,class__regular
kanta,kantu,kantu,class__regular
vahe,ves,vahu,class__regular
merese,mesesu,meresu,class__regular
grita,draku,gritu,class__regular
xove,xOju,xovu,class__regular
kativa,katasu,kativu,class__regular
viaja,vaju,viaju,class__regular
dezeja,devizu,dezeju,class__regular
pula,pulu,pulu,class__regular
akompaNa,akumpiNu,akompaNu,class__regular
dividi,dijidu,dividu,class__regular
aguarda,agisgu,aguardu,class__regular
zoa,suu,zou,class__regular
xega,xEgu,xegu,class__regular
buli,bulu,bulu,class__regular
atende,attentu,atendu,class__regular
pasa,pasu,pasu,class__regular
ajuda,ajudu,ajudu,class__regular
dansa,dasnu,dansu,class__regular
enkontra,enkurt$u,enkontru,class__regular
buska,busbu,busku,class__regular
inisia,inseizu,inisiu,class__regular
enxe,enezu,enxu,class__regular
oferese,es$$iru,oferesu,class__regular
adikiri,akurdiu,adikiru,class__regular
bebe,be$,bebu,class__regular
aprezentar,akrezersisu,aprezentu,class__regular
parti,partu,partu,class__regular
parese,paresu,paresu,class__regular
soNa,sum,soNu,class__regular
kaza,kaiu,kazu,class__regular
julga,jEldu,julgu,class__regular
hi,feiu,hiu,class__regular
inklui,intulu,inkluu,class__regular
afliji,ajiju,afliju,class__regular
kontravi,kontravu,kontravu,class__regular
mohe,moho,mohu,class__regular
sumi,sumu,sumu,class__regular
jaze,vaxu,jazu,class__regular
denfende,despis$,defendu,class__regular
tende,tentu,tendu,class__regular
sakudi,$idu,sakudu,class__regular
aprende,aprendu,aprendu,class__regular
kompartiLa,komprapasu,kompartiLu,class__regular
entende,entredeNu,entendu,class__regular
deixa,deliu,deixu,class__regular
deslingua,dezilitu,deslinguu,class__regular
lambuza,lampru,lambuzu,class__regular
akontese,ekontesu,akontesu,class__regular
pensa,pensu,pensu,class__regular
fika,fEku,fiku,class__regular
senta,sentu,sentu,class__regular
ezisti,ezistu,ezistu,class__regular
konta,kontu,kontu,class__regular
finji,fixu,finju,class__regular
axa,aju,axu,class__regular
aviza,avizu,avizu,class__regular
kompra,kompriu,kompru,class__regular
aji,aju,aju,class__regular
asisti,asistu,asistu,class__regular
eduka,edkuu,eduku,class__regular
ama,amu,amu,class__regular
akaba,akidu,akabu,class__regular
diskuti,diskubu,diskutu,class__regular
entra,entru,entru,class__regular
garanti,kantru,garantu,class__regular
preukupa,penkupu,preukupu,class__regular
manda,mandu,mandu,class__regular
partisipa,pranadruu,partisipu,class__regular
dijeri,disiju,dijiru,class__seguir
persegi,pertiru,persigu,class__seguir
espeli,espelu,espilu,class__seguir
servi,sestu,sirvu,class__seguir
preveni,prefitu,previnu,class__seguir
agredi,adEttu,agridu,class__seguir
progredi,pruttru,progridu,class__seguir
inseri,insiru,insiru,class__seguir
kompeti,kompiru,kompitu,class__seguir
diverti,disfiru,divirtu,class__seguir
transgredi,tr$trad$,transgridu,class__seguir
sujeri,suf$iru,sujiru,class__seguir
aderi,atiru,adiru,class__seguir
preferi,presi,prefiru,class__seguir
feri,fEru,firu,class__seguir
regredi,kridtu,regridu,class__seguir
segi,sigu,sigu,class__seguir
deferi,defiru,defiru,class__seguir
konsegi,konsku,konsigu,class__seguir
kompeli,kompliu,kompilu,class__seguir
injeri,insiju,injiru,class__seguir
konferi,konsiru,konfiru,class__seguir
vesti,vEstu,vistu,class__seguir
aferi,asfiru,afiru,class__seguir
preteri,preritu,pretiru,class__seguir
konverji,konfizxu,konvirju,class__seguir
hepeti,hepitu,hepitu,class__seguir
entrete,entretu,entreteNu,class__ter
dete,despu,deteNu,class__ter
konte,kont,konteNu,class__ter
obite,opudu,obiteNu,class__ter
mante,manteNu,manteNu,class__ter
abiste,aguastu,abisteNu,class__ter
hete,hete,heteNu,class__ter
te,teei,teNu,class__ter
suste,sustu,susteNu,class__ter
ate,adeNu,ateNu,class__ter
headekua,he$ettiuu,headEkuu,class__testar
komesa,komesu,komEsu,class__testar
adekua,aguttu,adEkuu,class__testar
seka,seku,sEku,class__testar
leva,levu,lEvu,class__testar
sega,segu,sEgu,class__testar
pega,pagu,pEgu,class__testar
kompleta,kompituu,komplEtu,class__testar
infekita,inijEru,infEkitu,class__testar
espresa,estEr$u,esprEsu,class__testar
detesta,despreiu,detEstu,class__testar
fexa,fexu,fExu,class__testar
konversa,kons$ru,konvErsu,class__testar
obiserva,ku,obisErvu,class__testar
protesta,prestesu,protEstu,class__testar
espera,espriu,espEru,class__testar
testa,testu,tEstu,class__testar
entrega,entrigu,entrEgu,class__testar
manifesta,intEsfauu,manifEstu,class__testar
empresta,metretezu,emprEstu,class__testar
preve,previ,preveju,class__ver
interve,entreveju,interveju,class__ver
anteve,anesvu,anteveju,class__ver
entreve,entrevexu,entreveju,class__ver
ve,veu,veju,class__ver
heve,hefeju,heveju,class__ver
dezavi,desavu,dezaveNu,class__vir
sobrevi,sob$rfu,sobreveNu,class__vir
obivi,obuju,obiveNu,class__vir
hevi,heviju,heveNu,class__vir
vi,ju,veNu,class__vir
adivi,adiju,adiveNu,class__vir
deskonvi,des$$$u,deskonveNu,class__vir
avi,avi,aveNu,class__vir
hekonvi,hekOstu,hekonveNu,class__vir
konvi,konvu,konveNu,class__vir
provi,provu,proveNu,class__vir
