excluir,#esklui#,excluo,#eskluo#
sugerir,#sujeri#,sujiro,#sujiru#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
transgredir,#transgredi#,transgrido,#transgridu#
convencer,#konvense#,convenco,#konvensu#
retrair,#hetrai#,retraio,#hetraiu#
querer,#kere#,quero,#kEru#
recobrir,#hekobri#,recubro,#hekubru#
moer,#moe#,moo,#mou#
abrir,#abri#,abro,#abru#
concluir,#konklui#,concluo,#konkluu#
atingir,#atinji#,atinjo,#atinju#
digerir,#dijeri#,digiro,#dijiru#
sortear,#sortea#,sorteio,#sorteiu#
ocultar,#okulta#,oculto,#okultu#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
contradizer,#kontradize#,contradigo,#kontradigu#
impor,#impo#,imponho,#imponiu#
isentar,#izenta#,isento,#izentu#
supor,#supo#,suponho,#suponiu#
aferir,#aferi#,afiro,#afiru#
limpar,#limpa#,limpo,#limpu#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
sentir,#senti#,sinto,#sintu#
justapor,#justapo#,justaponho,#justaponiu#
exprimir,#esprimi#,exprimo,#esprimu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
adequar,#adekua#,adequo,#adEkuu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
sortir,#sorti#,surto,#surtu#
consentir,#konsenti#,consinto,#konsintu#
interver,#interver#,intervejo,#interveju#
polir,#poli#,pulo,#pulu#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
fartar,#fartar#,farto,#fartu#
idear,#idea#,ideio,#ideiu#
reobter,#heobite#,reobto,#heobitu#
deter,#dete#,detenho,#deteniu#
trair,#trai#,traio,#traiu#
minguar,#mingua#,minguo,#minguu#
desmobiliar,#desmobilia#,desmobilio,#desmobiliu#
pressupor,#presupo#,pressuponho,#presuponiu#
medir,#medi#,meco,#mEsu#
recompor,#hekompo#,recomponho,#hekomponiu#
remediar,#hemedia#,remedeio,#hemedeiu#
desprazer,#despraze#,despraco,#desprasu#
disperder,#disperde#,disperdo,#disperdu#
condoear,#kondoe#,condoo,#kondou#
sorrir,#sohi#,sorrio,#sohiu#
saber,#sabe#,sei,#sei#
boiar,#boia#,boio,#bOiu#
equivaler,#ekivale#,equivalho,#ekivaliu#
perverter,#perverte#,perverto,#pervertu#
