excluir,#esklui#,excluo,#eskluo#
sugerir,#sujeri#,sujiro,#sujiru#
satisfazer,#satisfaze#,satisfaco,#satisfasu#
transgredir,#transgredi#,transgrido,#transgridu#
convencer,#konvense#,convenco,#konvensu#
retrair,#hetrai#,retraio,#hetraiu#
querer,#kere#,quero,#kEru#
recobrir,#hekobri#,recubro,#hekubru#
moer,#moe#,moo,#mou#
abrir,#abri#,abro,#abru#
concluir,#konklui#,concluo,#konkluu#
atingir,#atinji#,atinjo,#atinju#
digerir,#dijeri#,digiro,#dijiru#
sortear,#sortea#,sorteio,#sorteiu#
ocultar,#okulta#,oculto,#okultu#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
contradizer,#kontradize#,contradigo,#kontradigu#
impor,#impo#,imponho,#imponiu#
isentar,#izenta#,isento,#izentu#
supor,#supo#,suponho,#suponiu#
aferir,#aferi#,afiro,#afiru#
limpar,#limpa#,limpo,#limpu#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
sentir,#senti#,sinto,#sintu#
justapor,#justapo#,justaponho,#justaponiu#
exprimir,#esprimi#,exprimo,#esprimu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
adequar,#adekua#,adequo,#adEkuu#
desconvir,#deskonvi#,deconvenho,#deskonveniu#
sortir,#sorti#,surto,#surtu#
consentir,#konsenti#,consinto,#konsintu#
interver,#interver#,intervejo,#interveju#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
fartar,#fartar#,farto,#fartu#
idear,#idea#,ideio,#ideiu#
reobter,#heobite#,reobto,#heobitu#
deter,#dete#,detenho,#deteniu#
trair,#trai#,traio,#traiu#
minguar,#mingua#,minguo,#minguu#
desmobiliar,#desmobilia#,desmobilio,#desmobiliu#
pressupor,#presupo#,pressuponho,#presuponiu#
medir,#medi#,meco,#mEsu#
recompor,#hekompo#,recomponho,#hekomponiu#
remediar,#hemedia#,remedeio,#hemedeiu#
desprazer,#despraze#,despraco,#desprasu#
disperder,#disperde#,disperdo,#disperdu#
condoear,#kondoe#,condoo,#kondou#
sorrir,#sohi#,sorrio,#sohiu#
saber,#sabe#,sei,#sei#
boiar,#boia#,boio,#bOiu#
equivaler,#ekivale#,equivalho,#ekivaliu#
perverter,#perverte#,perverto,#pervertu#
avir,#avi#,avenho,#aveniu#
precluir,#preklui#,precluo,#prekluu#
contrair,#kontrai#,contraio,#kontraiu#
extinguir,#estingi#,extingo,#estingu#
abster,#abiste#,abstenho,#abisteniu#
denegrir,#denegri#,denigro,#denigru#
desavir,#dezavi#,desavenho,#dezaveniu#
interdizer,#interdize#,interdigo,#interdigu#
desprecaver,#desprekave#,desprecavo,#desprekavu#
reter,#hete#,retenho,#heteniu#
desvaler,#desvale#,desvalho,#desvaliu#
telever,#televe#,televo,#televu#
manter,#mante#,matenho,#manteniu#
predizer,#predize#,predigo,#predigu#
fazer,#faze#,faco,#fasu#
entupir,#entupi#,entupo,#entupu#
absorver,#abisorve#,absorvo,#abisorvu#
ter,#te#,tenho,#teniu#
rever,#heve#,revejo,#heveju#
matar,#mata#,mato,#matu#
expedir,#espedi#,expeco,#espEsu#
pagar,#paga#,pago,#pagu#
descalcar,#deskalsa#,descalco,#deskalsu#
gastar,#gasta#,gasto,#gastu#
findar,#finda#,findo,#findu#
entrever,#entreve#,entrevejo,#entreveju#
entregar,#entrega#,entrego,#entrEgu#
omitir,#omitir#,omito,#omitu#
entrepor,#entrepo#,entreponho,#entreponiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
valer,#vale#,valho,#valiu#
cuspir,#kuspi#,cuspo,#kuspu#
adjazer,#adijaze#,adjaco,#adijasu#
torrefazer,#tohefaze#,torrefaco,#torrefasu#
pretender,#pretende#,pretendo,#pretendu#
dormir,#dormi#,durmo,#durmu#
destruir,#destrui#,destruo,#destruu#
esvair,#esvai#,esvaio,#esvaiu#
preterir,#preteri#,pretiro,#pretiru#
suspender,#suspende#,suspendo,#suspendu#
cair,#kai#,caio,#kaiu#
trazer,#traze#,trago,#tragu#
imprimir,#imprimi#,imprimo,#imprimu#
provir,#provi#,provenho,#proveniu#
imergir,#imerji#,imerjo,#imErju#
revir,#hevi#,revenho,#heveniu#
submergir,#subimerji#,submerjo,#subimerju#
rarefazer,#harefaze#,rarefaco,#harefasu#
benzer,#benze#,benzo,#benzu#
mediar,#media#,medeio,#medeiu#
prossupor,#prosupo#,prossuponho,#prosuponiu#
descaber,#deskabe#,descabo,#deskabu#
desquerer,#deskere#,desquero,#deskEru#
ganhar,#gania#,ganho,#ganiu#
aceitar,#aseita#,aceito,#aseitu#
confugir,#konfuji#,confujo,#konfuju#
poder,#pode#,posso,#pOsu#
convergir,#konverji#,convirjo,#konvirju#
prover,#prove#,provenho,#proveju#
predispor,#predispo#,predisponho,#predisponiu#
desmedir,#desmedi#,desmeco,#desmEsu#
libertar,#liberta#,liberto,#libErtu#
enxaguar,#enxagua#,enxaguo,#enxaguu#
segurar,#segura#,seguro,#seguru#
juntar,#junta#,junto,#juntu#
desdar,#desda#,desdo,#dEsdu#
tresler,#tresle#,tresleio,#treleiu#
manifestar,#manifesta#,manifesto,#manifEstu#
nascer,#nase#,naco,#nasu#
indispor,#indispo#,indisponho,#indisponiu#
estrear,#estrea#,estreio,#estrEiu#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
acender,#asende#,acendo,#asendu#
infectar,#infekita#,infecto,#infEkitu#
corromper,#kohompe#,corrompo,#kohompu#
convir,#konvi#,convenho,#konveniu#
desapor,#dezapo#,desaponho,#dezaponiu#
suster,#suste#,sustenho,#susteniu#
atrair,#atrai#,atraio,#atraiu#
cultivar,#kultiva#,cultivo,#kultivu#
esfazer,#esfaze#,esfaco,#esfasu#
repetir,#hepeti#,repito,#hepitu#
